;Município de notificação;ANO;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
0;260005 Abreu e Lima;2010;0;0;3;0;1;24;4;42;11;26;24;10
1;260010 Afogados da Ingazeira;2010;0;1;3;14;56;49;7;7;2;7;15;17
2;260020 Afrânio;2010;10;5;12;6;0;1;0;0;0;0;0;0
3;260030 Agrestina;2010;0;1;4;1;0;0;0;0;0;1;0;0
4;260040 Água Preta;2010;0;0;1;16;4;1;4;6;4;3;2;5
5;260050 Águas Belas;2010;0;0;2;0;3;0;0;0;0;0;0;0
6;260060 Alagoinha;2010;0;0;0;0;0;0;0;2;1;2;4;1
7;260070 Aliança;2010;0;0;0;0;1;0;0;0;0;0;1;1
8;260080 Altinho;2010;3;1;19;33;103;27;23;10;0;2;1;1
9;260090 Amaraji;2010;0;0;68;34;25;15;1;0;0;1;1;0
10;260100 Angelim;2010;0;0;1;1;0;1;0;0;0;0;1;0
11;260105 Araçoiaba;2010;0;0;0;4;0;2;1;0;0;0;0;0
12;260110 Araripina;2010;2;8;6;3;10;0;5;1;1;0;2;0
13;260120 Arcoverde;2010;3;0;15;43;45;47;20;10;1;2;5;8
14;260130 Barra de Guabiraba;2010;0;0;0;0;2;1;0;1;0;0;0;0
15;260140 Barreiros;2010;0;1;5;18;87;30;9;9;1;4;2;0
16;260150 Belém de Maria;2010;0;0;1;1;0;0;0;0;0;0;0;0
17;260160 Belém do São Francisco;2010;0;0;3;9;8;1;1;0;0;0;0;0
18;260170 Belo Jardim;2010;0;0;1;20;53;87;39;56;40;17;22;9
19;260180 Betânia;2010;0;0;0;0;1;0;1;0;0;0;0;0
20;260190 Bezerros;2010;8;16;39;11;1;3;0;0;0;0;0;0
21;260200 Bodocó;2010;0;2;36;36;28;26;5;1;2;0;2;0
22;260210 Bom Conselho;2010;1;0;2;11;7;5;5;2;0;0;0;0
23;260220 Bom Jardim;2010;0;0;2;2;15;23;27;5;5;8;1;1
24;260230 Bonito;2010;0;0;1;3;25;12;10;1;4;1;0;0
25;260240 Brejão;2010;0;0;0;4;8;6;2;0;0;0;0;0
26;260250 Brejinho;2010;0;0;1;1;0;0;0;0;0;0;1;0
27;260260 Brejo da Madre de Deus;2010;0;0;0;1;19;8;9;9;3;0;0;0
28;260280 Buíque;2010;0;0;0;1;1;0;0;0;0;0;0;0
29;260290 Cabo de Santo Agostinho;2010;4;6;46;110;438;465;172;105;44;26;24;10
30;260300 Cabrobó;2010;0;0;0;1;0;0;1;0;0;0;0;0
31;260310 Cachoeirinha;2010;0;0;0;0;4;0;1;0;0;0;0;0
32;260320 Caetés;2010;0;0;1;10;24;4;3;2;0;0;0;0
33;260330 Calçado;2010;0;0;1;5;17;14;5;4;0;0;0;0
34;260340 Calumbi;2010;0;0;0;0;3;0;0;0;0;0;0;0
35;260345 Camaragibe;2010;1;0;3;23;57;88;81;32;10;0;3;0
36;260350 Camocim de São Félix;2010;0;1;0;0;1;23;7;0;0;1;0;0
37;260360 Camutanga;2010;0;0;0;0;2;0;0;0;0;0;0;0
38;260370 Canhotinho;2010;0;1;0;1;3;2;6;4;0;0;0;0
39;260380 Capoeiras;2010;0;0;0;3;14;11;9;1;0;0;0;0
40;260390 Carnaíba;2010;1;1;0;3;32;24;3;10;0;3;5;7
41;260392 Carnaubeira da Penha;2010;0;0;0;1;0;0;0;0;0;0;0;0
42;260400 Carpina;2010;0;0;3;1;9;8;11;19;12;4;0;1
43;260410 Caruaru;2010;10;28;216;367;336;160;71;59;13;1;11;5
44;260415 Casinhas;2010;10;2;15;32;19;23;9;3;1;0;0;3
45;260420 Catende;2010;0;0;0;2;16;1;4;4;1;1;0;0
46;260430 Cedro;2010;0;4;34;12;9;20;8;2;1;0;0;1
47;260440 Chã de Alegria;2010;0;0;0;1;4;2;3;0;0;0;0;0
48;260450 Chã Grande;2010;3;9;7;6;45;30;8;3;6;1;0;16
49;260460 Condado;2010;0;1;0;0;2;0;12;15;33;35;27;19
50;260470 Correntes;2010;0;0;1;0;1;3;2;0;0;0;0;0
51;260480 Cortês;2010;8;31;32;1;0;0;0;0;0;0;0;0
52;260490 Cumaru;2010;0;0;1;5;31;26;3;1;1;1;0;0
53;260500 Cupira;2010;0;0;0;0;0;4;2;0;1;2;1;0
54;260510 Custódia;2010;1;0;5;7;13;4;2;0;0;0;1;0
55;260515 Dormentes;2010;20;1;0;0;1;0;0;0;0;0;0;4
56;260520 Escada;2010;0;0;14;15;25;13;4;0;2;18;7;0
57;260530 Exu;2010;0;2;10;6;7;6;9;3;0;0;1;1
58;260540 Feira Nova;2010;0;0;0;0;0;4;6;0;0;0;1;0
59;260545 Fernando de Noronha;2010;0;0;1;0;3;30;20;3;2;0;0;0
60;260550 Ferreiros;2010;0;0;0;0;0;0;8;0;0;0;0;0
61;260560 Flores;2010;0;0;0;1;0;1;0;6;0;0;0;0
62;260570 Floresta;2010;0;0;0;1;19;11;5;2;1;0;0;0
63;260580 Frei Miguelinho;2010;0;0;1;2;26;19;4;4;0;0;0;0
64;260590 Gameleira;2010;5;36;76;17;7;3;9;1;2;0;0;0
65;260600 Garanhuns;2010;1;11;20;114;251;236;87;19;8;4;3;7
66;260610 Glória do Goitá;2010;2;7;17;31;21;3;6;5;2;1;0;0
67;260620 Goiana;2010;1;0;0;1;3;1;10;5;7;24;20;7
68;260630 Granito;2010;0;0;0;11;13;8;0;0;0;0;0;0
69;260640 Gravatá;2010;0;3;10;10;49;47;65;18;14;3;2;3
70;260650 Iati;2010;0;0;1;2;2;3;0;1;0;0;0;0
71;260670 Ibirajuba;2010;3;1;12;13;1;3;0;0;0;0;0;0
72;260680 Igarassu;2010;2;2;8;12;32;37;24;34;28;24;17;6
73;260690 Iguaracy;2010;0;1;1;5;6;3;0;0;0;0;0;0
74;260760 Ilha de Itamaracá;2010;2;0;0;5;37;66;31;8;9;5;1;4
75;260700 Inajá;2010;0;0;0;0;0;2;0;7;0;2;0;0
76;260710 Ingazeira;2010;0;0;0;0;1;12;6;0;0;0;0;3
77;260720 Ipojuca;2010;1;0;1;8;28;28;28;18;13;2;3;17
78;260730 Ipubi;2010;1;1;3;0;2;1;1;0;1;0;0;0
79;260740 Itacuruba;2010;0;0;1;0;2;4;2;0;0;0;0;0
80;260765 Itambé;2010;0;0;0;0;0;0;3;15;8;2;0;0
81;260775 Itapissuma;2010;0;0;0;1;0;0;0;0;1;3;1;0
82;260780 Itaquitinga;2010;0;0;1;0;1;1;0;0;0;1;13;12
83;260790 Jaboatão dos Guararapes;2010;3;8;45;137;427;419;424;230;68;8;14;33
84;260795 Jaqueira;2010;0;0;3;2;3;0;0;0;0;0;0;0
85;260800 Jataúba;2010;1;1;4;0;3;2;0;0;0;0;0;1
86;260805 Jatobá;2010;0;1;0;1;6;15;3;5;0;1;0;0
87;260810 João Alfredo;2010;1;9;8;16;7;2;2;0;0;0;0;0
88;260820 Joaquim Nabuco;2010;0;0;0;2;0;1;0;0;0;0;0;0
89;260825 Jucati;2010;0;0;2;0;3;2;2;0;0;0;0;0
90;260830 Jupi;2010;0;0;5;19;11;2;0;0;0;0;0;0
91;260840 Jurema;2010;0;0;0;0;0;1;5;0;1;0;0;0
92;260850 Lagoa de Itaenga;2010;0;0;1;0;0;0;0;0;0;0;0;0
93;260845 Lagoa do Carro;2010;0;1;2;42;86;68;48;11;2;1;2;1
94;260860 Lagoa do Ouro;2010;0;0;0;0;2;0;1;1;0;0;0;0
95;260870 Lagoa dos Gatos;2010;0;1;8;3;10;0;4;1;1;0;0;0
96;260875 Lagoa Grande;2010;0;5;6;0;2;0;0;0;1;0;0;0
97;260880 Lajedo;2010;0;0;0;1;7;1;1;0;0;0;0;0
98;260890 Limoeiro;2010;2;0;5;11;11;35;47;38;17;11;18;15
99;260900 Macaparana;2010;0;0;0;0;1;3;1;2;0;0;2;1
100;260910 Machados;2010;0;0;0;0;0;1;0;1;0;1;0;0
101;260915 Manari;2010;0;0;0;0;1;0;0;0;0;0;0;0
102;260920 Maraial;2010;0;0;0;3;8;1;0;0;0;0;0;1
103;260930 Mirandiba;2010;0;1;3;7;42;14;3;0;0;0;0;1
104;261430 Moreilândia;2010;0;0;1;0;0;0;0;0;0;5;0;0
105;260940 Moreno;2010;0;1;2;47;179;254;396;159;42;6;8;4
106;260950 Nazaré da Mata;2010;0;0;0;0;3;18;21;18;11;6;11;3
107;260960 Olinda;2010;2;9;16;21;88;162;176;182;47;16;12;3
108;260970 Orobó;2010;0;0;0;2;14;9;13;1;0;2;2;2
109;260980 Orocó;2010;0;0;0;1;0;0;0;0;1;0;0;0
110;260990 Ouricuri;2010;21;174;69;2;1;0;0;0;0;0;0;1
111;261000 Palmares;2010;2;1;0;3;8;1;8;13;16;10;7;0
112;261010 Palmeirina;2010;0;0;5;7;4;1;1;0;0;0;0;0
113;261020 Panelas;2010;0;0;1;9;1;0;0;1;0;0;0;0
114;261030 Paranatama;2010;0;0;0;0;2;1;1;1;0;0;0;0
115;261040 Parnamirim;2010;0;2;7;13;9;12;2;4;1;0;0;0
116;261050 Passira;2010;0;0;0;0;0;0;0;1;2;0;0;0
117;261060 Paudalho;2010;0;0;0;0;9;10;31;41;19;12;19;7
118;261070 Paulista;2010;5;12;23;51;201;342;318;290;126;63;53;104
119;261080 Pedra;2010;0;0;1;13;14;7;6;3;1;0;0;0
120;261090 Pesqueira;2010;1;0;2;0;2;2;0;1;1;0;4;4
121;261100 Petrolândia;2010;0;0;0;0;2;2;1;2;0;0;0;0
122;261110 Petrolina;2010;105;237;421;164;100;53;21;20;6;9;7;5
123;261120 Poção;2010;0;0;0;0;0;1;2;0;0;0;0;0
124;261130 Pombos;2010;0;0;0;0;2;4;10;3;3;2;0;0
125;261140 Primavera;2010;0;0;0;0;7;8;47;7;2;0;0;0
126;261150 Quipapá;2010;0;0;0;0;0;0;0;2;0;0;0;0
127;261153 Quixaba;2010;0;0;0;32;276;141;6;5;1;0;1;6
128;261160 Recife;2010;40;104;248;588;1979;3209;2987;1520;420;167;140;103
129;261170 Riacho das Almas;2010;0;1;27;19;8;2;0;1;1;1;0;0
130;261180 Ribeirão;2010;1;2;2;13;74;45;8;7;5;3;1;0
131;261190 Rio Formoso;2010;0;0;0;1;0;4;3;0;0;1;0;0
132;261200 Sairé;2010;0;0;2;5;8;0;0;1;4;1;0;4
133;261210 Salgadinho;2010;0;0;0;0;0;0;0;1;0;0;0;0
134;261220 Salgueiro;2010;19;63;270;128;320;146;51;1;0;1;1;2
135;261230 Saloá;2010;0;0;0;1;3;2;0;0;0;0;0;0
136;261240 Sanharó;2010;0;0;0;0;1;0;2;2;9;5;0;0
137;261245 Santa Cruz;2010;18;83;75;9;28;2;2;0;0;0;0;1
138;261247 Santa Cruz da Baixa Verde;2010;2;0;12;11;29;11;2;0;0;0;0;0
139;261250 Santa Cruz do Capibaribe;2010;4;9;56;36;8;1;2;0;0;0;0;0
140;261255 Santa Filomena;2010;1;6;11;1;0;1;0;0;0;0;0;0
141;261260 Santa Maria da Boa Vista;2010;0;0;1;0;1;6;0;0;0;0;0;1
142;261280 Santa Terezinha;2010;0;0;0;0;0;0;1;1;0;0;0;0
143;261290 São Benedito do Sul;2010;0;0;0;1;0;0;0;0;1;0;0;0
144;261300 São Bento do Una;2010;2;0;0;3;17;8;5;0;0;1;0;1
145;261310 São Caitano;2010;0;0;3;19;47;15;15;0;0;0;0;1
146;261320 São João;2010;0;22;69;10;2;0;0;0;0;0;0;0
147;261330 São Joaquim do Monte;2010;1;0;0;11;11;11;0;0;0;0;0;0
148;261340 São José da Coroa Grande;2010;0;1;0;0;4;4;8;7;1;1;2;0
149;261350 São José do Belmonte;2010;38;192;91;32;13;5;32;0;2;2;41;4
150;261360 São José do Egito;2010;0;0;0;1;3;3;0;5;4;0;0;2
151;261370 São Lourenço da Mata;2010;0;0;3;5;35;55;50;33;9;3;1;0
152;261380 São Vicente Ferrer;2010;0;0;0;0;3;0;0;0;0;0;0;0
153;261390 Serra Talhada;2010;2;6;20;29;70;46;21;9;4;3;4;1
154;261400 Serrita;2010;0;0;1;4;5;0;2;1;8;8;11;12
155;261410 Sertânia;2010;0;1;0;0;0;1;0;1;0;1;3;4
156;261420 Sirinhaém;2010;0;0;0;0;0;0;0;1;0;0;0;0
157;261440 Solidão;2010;0;0;0;1;3;5;2;0;0;0;2;0
158;261450 Surubim;2010;1;9;124;151;78;33;16;9;9;1;3;1
159;261460 Tabira;2010;0;0;3;1;0;2;0;6;3;2;7;15
160;261470 Tacaimbó;2010;0;0;0;8;14;4;0;1;1;0;0;0
161;261480 Tacaratu;2010;0;0;1;18;8;0;2;1;0;0;1;0
162;261485 Tamandaré;2010;0;0;0;0;0;0;2;1;0;0;1;0
163;261500 Taquaritinga do Norte;2010;0;0;1;20;17;14;10;2;1;0;0;1
164;261510 Terezinha;2010;0;0;0;0;0;2;1;0;0;0;0;0
165;261520 Terra Nova;2010;0;3;45;6;7;0;0;0;0;0;0;0
166;261530 Timbaúba;2010;0;2;8;6;9;6;9;4;0;1;0;0
167;261540 Toritama;2010;0;4;0;3;1;0;0;0;0;0;0;0
168;261550 Tracunhaém;2010;0;0;1;0;0;1;4;2;0;0;0;0
169;261560 Trindade;2010;0;0;1;1;1;0;0;0;0;0;0;0
170;261570 Triunfo;2010;0;2;10;48;22;6;3;0;0;0;0;0
171;261590 Tuparetama;2010;0;0;0;0;3;4;2;1;1;1;1;1
172;261600 Venturosa;2010;0;0;1;4;11;18;0;0;0;0;0;0
173;261610 Verdejante;2010;0;1;8;0;0;2;1;1;1;0;1;0
174;261618 Vertente do Lério;2010;0;0;0;1;1;0;0;0;4;0;0;0
175;261620 Vertentes;2010;3;8;9;12;26;28;5;1;0;1;0;0
176;261630 Vicência;2010;0;0;1;4;2;0;1;0;2;2;4;4
177;261640 Vitória de Santo Antão;2010;0;0;8;46;59;102;115;57;23;16;2;1
178;261650 Xexéu;2010;0;0;0;0;2;2;0;0;1;0;0;0
0;260005 Abreu e Lima;2011;2;5;39;65;52;18;5;6;1;0;0;0
1;260010 Afogados da Ingazeira;2011;33;186;303;93;50;8;1;0;0;0;0;2
2;260020 Afrânio;2011;0;0;14;86;45;29;9;2;0;0;0;0
3;260030 Agrestina;2011;1;0;0;0;0;0;0;0;0;0;1;0
4;260040 Água Preta;2011;1;0;0;4;57;9;2;0;0;1;0;0
5;260050 Águas Belas;2011;0;0;1;2;0;0;0;0;0;0;0;0
6;260060 Alagoinha;2011;0;4;16;8;6;3;0;0;0;0;0;0
7;260070 Aliança;2011;27;34;8;3;3;0;1;0;0;0;0;14
8;260080 Altinho;2011;2;0;0;2;2;1;1;1;2;0;0;0
9;260090 Amaraji;2011;0;0;3;0;1;0;0;0;0;0;0;0
10;260105 Araçoiaba;2011;1;2;0;1;0;0;0;0;0;0;0;0
11;260110 Araripina;2011;8;26;25;29;15;0;3;4;0;3;9;6
12;260120 Arcoverde;2011;4;0;5;3;2;0;0;0;0;2;0;3
13;260130 Barra de Guabiraba;2011;0;0;1;0;0;0;0;0;0;0;0;0
14;260140 Barreiros;2011;5;15;3;0;1;0;0;0;0;0;0;0
15;260150 Belém de Maria;2011;0;2;1;0;0;0;0;0;0;0;0;0
16;260170 Belo Jardim;2011;0;0;0;0;4;5;0;0;0;0;0;0
17;260180 Betânia;2011;0;2;2;0;0;0;0;0;0;0;0;0
18;260190 Bezerros;2011;0;1;4;0;0;0;0;0;0;0;0;0
19;260200 Bodocó;2011;0;0;0;0;1;1;0;0;6;2;0;0
20;260210 Bom Conselho;2011;1;2;4;3;0;0;3;0;0;0;0;1
21;260220 Bom Jardim;2011;5;9;15;11;4;4;0;0;0;0;0;0
22;260230 Bonito;2011;0;0;1;1;1;0;0;0;0;0;0;0
23;260250 Brejinho;2011;4;5;17;9;1;3;0;2;1;0;1;0
24;260260 Brejo da Madre de Deus;2011;0;0;0;0;0;1;2;0;0;0;0;0
25;260270 Buenos Aires;2011;0;3;1;2;2;0;0;0;0;0;0;0
26;260280 Buíque;2011;0;0;2;2;1;1;3;0;1;0;0;0
27;260290 Cabo de Santo Agostinho;2011;7;19;28;28;36;19;9;6;4;4;1;3
28;260300 Cabrobó;2011;0;1;1;8;11;8;6;3;0;0;0;0
29;260310 Cachoeirinha;2011;0;0;1;0;0;0;0;0;0;1;0;0
30;260320 Caetés;2011;1;5;9;21;4;0;2;0;0;0;2;0
31;260330 Calçado;2011;0;1;1;2;1;0;0;0;0;0;0;0
32;260340 Calumbi;2011;0;1;2;0;1;0;0;0;0;0;0;0
33;260345 Camaragibe;2011;1;6;27;5;17;11;3;4;0;3;0;1
34;260350 Camocim de São Félix;2011;0;0;0;3;3;0;0;0;0;0;0;0
35;260360 Camutanga;2011;0;0;0;1;0;0;0;0;0;0;0;0
36;260370 Canhotinho;2011;0;0;3;7;6;1;1;0;0;0;0;0
37;260380 Capoeiras;2011;0;0;2;2;3;6;1;1;0;0;0;0
38;260390 Carnaíba;2011;5;14;16;19;22;1;2;0;0;0;0;0
39;260392 Carnaubeira da Penha;2011;0;0;0;1;2;0;0;0;0;0;0;0
40;260400 Carpina;2011;25;128;121;110;61;34;15;3;6;9;1;1
41;260410 Caruaru;2011;1;7;8;6;3;2;4;6;2;1;2;0
42;260415 Casinhas;2011;0;0;0;2;0;0;0;0;1;0;2;0
43;260420 Catende;2011;0;1;0;2;0;0;0;1;1;0;0;0
44;260430 Cedro;2011;0;4;3;2;1;0;0;0;0;1;0;0
45;260440 Chã de Alegria;2011;0;0;0;0;0;1;0;1;0;0;0;0
46;260450 Chã Grande;2011;3;1;2;0;3;6;4;7;1;9;2;3
47;260460 Condado;2011;19;35;60;43;40;16;6;5;5;6;1;5
48;260470 Correntes;2011;0;0;0;0;1;2;1;1;0;0;0;0
49;260480 Cortês;2011;0;0;3;0;0;0;0;0;0;0;0;0
50;260490 Cumaru;2011;10;4;3;0;4;8;1;0;2;0;0;0
51;260500 Cupira;2011;0;0;0;1;0;0;0;0;0;0;0;0
52;260510 Custódia;2011;0;0;0;0;0;0;0;0;1;0;0;0
53;260515 Dormentes;2011;0;0;0;0;1;1;3;0;0;0;0;0
54;260520 Escada;2011;1;0;26;4;1;1;3;0;0;0;0;0
55;260530 Exu;2011;0;5;5;8;1;0;0;0;0;0;0;0
56;260545 Fernando de Noronha;2011;1;0;7;3;8;0;2;0;0;0;0;0
57;260550 Ferreiros;2011;0;0;6;0;0;0;0;0;0;0;0;0
58;260560 Flores;2011;1;1;3;1;0;0;0;0;0;2;0;0
59;260570 Floresta;2011;7;7;15;1;1;1;0;0;1;0;1;0
60;260590 Gameleira;2011;1;1;16;5;4;2;0;0;0;0;0;0
61;260600 Garanhuns;2011;8;10;26;300;239;92;63;26;10;5;0;0
62;260610 Glória do Goitá;2011;0;0;5;3;2;6;2;0;2;6;6;1
63;260620 Goiana;2011;30;43;52;96;103;48;33;24;8;2;0;1
64;260630 Granito;2011;5;0;0;1;1;0;0;0;0;0;0;0
65;260640 Gravatá;2011;4;0;3;11;10;9;3;2;1;1;0;0
66;260650 Iati;2011;0;1;5;10;4;2;0;0;1;0;0;0
67;260660 Ibimirim;2011;0;0;1;2;0;0;1;0;0;0;0;0
68;260670 Ibirajuba;2011;0;0;0;0;1;0;1;0;0;0;0;0
69;260680 Igarassu;2011;3;13;27;40;32;16;7;4;3;0;0;1
70;260690 Iguaracy;2011;0;1;11;2;0;1;0;0;0;0;0;0
71;260760 Ilha de Itamaracá;2011;0;12;42;24;10;10;3;1;0;0;0;0
72;260710 Ingazeira;2011;5;15;11;1;1;0;0;0;1;0;0;0
73;260720 Ipojuca;2011;26;45;88;65;55;25;23;16;9;4;0;2
74;260730 Ipubi;2011;0;0;0;0;1;0;0;0;1;6;1;0
75;260740 Itacuruba;2011;0;1;0;3;0;0;0;0;1;0;0;0
76;260750 Itaíba;2011;0;0;0;0;0;1;0;0;0;0;0;0
77;260765 Itambé;2011;3;7;30;26;14;3;0;0;0;0;0;0
78;260770 Itapetim;2011;5;9;46;5;2;0;0;2;0;0;0;0
79;260775 Itapissuma;2011;1;0;2;1;6;3;1;0;2;0;0;0
80;260780 Itaquitinga;2011;7;6;10;13;21;10;14;0;0;3;0;1
81;260790 Jaboatão dos Guararapes;2011;9;31;69;90;51;24;18;12;4;1;3;1
